Code,preyvalue,long_name,guild,habit,tot_catch,tot_catch_base,dollar_kg,gross_value_mt,gross_value_base_mt
POM,0.005049283243362186,Pompano,Demersal,Demersal,255.23084412993353,255.2181724432079,6.372134756073644,1626365.3327023643,1626284.5870069617
POM,0.00728187546254453,Pompano,Demersal,Demersal,255.27149713936976,255.26461884277344,6.372134756073644,1626624.3791567318,1626580.5497239279
POM,0.01050163116155465,Pompano,Demersal,Demersal,255.30316754270626,255.30454985015768,6.372134756073644,1626826.1872345712,1626834.995483926
POM,0.015145034767567803,Pompano,Demersal,Demersal,255.3233543695104,255.33767844479857,6.372134756073644,1626954.8204152647,1627046.0953532571
POM,0.02184156676065183,Pompano,Demersal,Demersal,255.33472618938617,255.3626531984464,6.372134756073644,1627027.2831839349,1627205.2378490008
POM,0.03149903885209916,Pompano,Demersal,Demersal,255.34041707995013,255.38261152847934,6.372134756073644,1627063.5463054904,1627332.415017477
POM,0.0454266609844816,Pompano,Demersal,Demersal,255.34214826687472,255.3993404269179,6.372134756073644,1627074.577661862,1627439.013812648
POM,0.06551252366424194,Pompano,Demersal,Demersal,255.34112195509906,255.41375586844262,6.372134756073644,1627068.0378649258,1627530.870948612
POM,0.09447955592254584,Pompano,Demersal,Demersal,255.33490591301825,255.42426769977774,6.372134756073644,1627028.4284071373,1627597.8537544124
POM,0.13625465770590775,Pompano,Demersal,Demersal,255.32079428876824,255.42841535496325,6.372134756073644,1626938.5072357892,1627624.2831721762
POM,0.19650104792801815,Pompano,Demersal,Demersal,255.29332176549622,255.41908785023114,6.372134756073644,1626763.4486154106,1627564.8470550852
POM,0.28338599565639055,Pompano,Demersal,Demersal,255.24950147121373,255.38833242686204,6.372134756073644,1626484.2197951917,1627368.8693528972
POM,0.4086880114938722,Pompano,Demersal,Demersal,255.19054605158394,255.32700803228767,6.372134756073644,1626108.54791671,1626978.1020468348
POM,0.5893935949514477,Pompano,Demersal,Demersal,255.13053044814734,255.23954027792962,6.372134756073644,1625726.1204041447,1626420.745729254
POM,0.85,Pompano,Demersal,Demersal,255.08753814103105,255.15377267813523,6.372134756073644,1625452.1676297253,1625874.2230256593
RAY,9.999999999999997e-6,Skates and rays,Demersal,Demersal,6.694680788060821,6.697929627810119,131.30939184549075,879074.4628799572,879501.0660516409
RAY,1.4421602258335023e-5,Skates and rays,Demersal,Demersal,6.694757187334239,6.698012428419132,131.30939184549075,879084.4948220871,879511.9385492548
RAY,2.0798261169761385e-5,Skates and rays,Demersal,Demersal,6.694876054123429,6.698121313558753,131.30939184549075,879100.1031478863,879526.2361907195
